Staff_ID,First_Name,Last_Name,Gender,Salary,Rank,Origin Country,DOB,Hire_Date
A040179,Matsuoka,Wills,M,28510,Instructor III,AU,15-Mar-74,1/1/2004
A041024,Michael,Westlund,M,26600,Instructor II,AU,21-Sep-84,1/5/2004
A041019,Scott,Desanctis,M,31320,Teaching Fellow,TW,25-Jun-86,1/6/2004
A041033,Kristie,Snitzer,F,29775,Instructor III,TW,6-Nov-86,1/6/2004
A041072,Christer,North,M,26105,Instructor I,US,10-Jan-79,1/9/2004
A050152,Sean,Dives,M,26515,Instructor I,US,1-May-79,1/4/2005
A051063,Regi,Kinol,M,35990,Assistant Professor,US,27-Jul-79,1/8/2005
A060162,Randal,Scordia,M,27215,Instructor I,AU,5-Sep-88,1/2/2006
A061070,Agnieszka,Holthouse,F,29385,Instructor III,AU,4-Nov-84,1/2/2006
A060137,Marina,Iyengar,F,29715,Instructor III,TW,12-Mar-79,1/3/2006
A060156,Gerry,Snellings,F,26445,Instructor I,AU,1-Sep-88,1/3/2006
A060165,Tadashi,Pretorius,M,27050,Instructor I,AU,19-Mar-84,1/3/2006
A061032,Nasim,Smith,M,31335,Teaching Fellow,AU,24-Feb-88,1/3/2006
A061067,Jeanilla,Macnair,F,31865,Teaching Fellow,AU,18-Jan-86,1/3/2006
A060155,Narelle,James,F,29990,Instructor III,AU,22-Apr-84,1/4/2006
A061026,Terrill,Jaime,M,31515,Teaching Fellow,US,8-Nov-86,1/4/2006
A061065,Corneille,Malta,F,28040,Instructor III,US,5-Sep-84,1/4/2006
A061137,Michael. R.,Boocks,M,27055,Instructor I,AU,18-Jan-88,1/4/2006
A060130,Kevin,Lyon,M,26955,Instructor I,US,14-Dec-84,1/5/2006
A060141,Amanda,Liebman,F,27465,Instructor II,AU,12-Mar-88,1/5/2006
A060169,Cos,Tannous,M,28135,Instructor III,UK,2-Jan-84,1/5/2006
A061098,Hal,Heatwole,M,27475,Instructor I,AU,22-Mar-88,1/5/2006
A061102,Rocheal,Flammia,F,27115,Instructor I,UK,26-Jun-79,1/6/2006
A060138,Shani,Duckett,F,25795,Instructor I,UK,11-Jul-79,1/7/2006
A060142,Vincent,Eastley,M,29695,Instructor III,AU,14-Jun-86,1/7/2006
A061046,Roger,Mandzak,M,25845,Instructor I,AU,7-Sep-84,1/7/2006
A061107,Rose,Anger,F,31380,Teaching Fellow,US,24-Apr-86,1/7/2006
A060126,Satyakam,Denny,M,26780,Instructor II,UK,20-Sep-88,1/8/2006
A061038,David,Anstey,M,25285,Instructor I,US,13-Feb-88,1/8/2006
A061055,Clement,Davis,M,30185,Teaching Fellow,AU,8-Jan-88,1/8/2006
A061062,Debra,Armant,F,30305,Teaching Fellow,TW,28-Oct-84,1/8/2006
A060139,Fang,Wilson,F,26810,Instructor II,UK,18-Aug-86,1/9/2006
A060171,Alena,Moody,F,26205,Instructor II,AU,19-Jul-84,1/9/2006
A061047,Karen,Grzebien,F,25820,Instructor I,UK,26-Nov-79,1/9/2006
A061048,Lawrie,Clark,F,26560,Instructor I,AU,24-Jun-84,1/9/2006
A061103,Brian,Farnsworth,M,27260,Instructor I,US,28-Apr-88,1/9/2006
A060133,Petrea,Soltau,F,27440,Instructor II,AU,22-Apr-86,1/10/2006
A060140,Michael,Minas,M,26970,Instructor I,AU,3-Aug-88,1/10/2006
A060144,Viney,Barbis,M,30265,Teaching Fellow,US,7-Mar-86,1/10/2006
A060147,Skev,Rusli,F,26580,Instructor II,AU,19-Jan-88,1/10/2006
A060161,Rosette,Martines,F,30785,Teaching Fellow,US,7-Mar-88,1/10/2006
A060175,Andrew,Conolly,M,25745,Instructor I,TW,18-Aug-88,1/10/2006
A061077,Bryce,Smotherly,M,28585,Instructor III,TW,5-Sep-84,1/10/2006
A060128,Monica,Kletschkus,F,30890,Teaching Fellow,UK,14-Jul-86,1/11/2006
A060168,Selina,Barcoe,F,25275,Instructor I,AU,24-Mar-84,1/11/2006
A060176,Koavea,Pa,M,26095,Instructor I,UK,9-Nov-86,1/11/2006
A061028,William,Smades,M,26585,Instructor I,US,27-Apr-88,1/11/2006
A061052,Richard,Fay,M,26900,Instructor II,UK,9-Jan-86,1/11/2006
A061101,Burnetta,Buckner,F,25390,Instructor I,TW,28-Aug-86,1/11/2006
A061108,Libby,Levi,F,25930,Instructor I,UK,4-Jul-88,1/11/2006
A060157,Leonid,Karavdic,M,27860,Instructor II,US,21-Feb-86,1/12/2006
A060198,Meera,Body,F,28025,Instructor III,TW,21-Jan-88,1/12/2006
A061049,Perrior,Bataineh,F,26930,Instructor I,AU,14-Feb-86,1/12/2006
A061050,Patricia,Capristo-Abramczyk,F,26080,Instructor II,US,12-Jan-86,1/12/2006
A071034,John,Kirkman,M,27110,Instructor II,AU,23-Aug-88,1/1/2007
A071085,Rebecca,Huslage,M,32235,Assistant Professor,AU,12-Nov-86,1/1/2007
A071088,Momolu,Kernitzki,M,27240,Instructor I,TW,10-Jun-88,1/1/2007
